Function, File, Line, DependsOnEnt,DependsOnType,DependsOnFile
org.apache.commons.compress.AbstractTestCase.createSingleEntryArchive(String archivename),D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\test\java\org\apache\commons\compress\AbstractTestCase.java,262,ArchiveStreamFactory.createArchiveOutputStream,Call,D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\archivers\ArchiveStreamFactory.java
org.apache.commons.compress.AbstractTestCase.getExpectedString(ArchiveEntry entry),D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\test\java\org\apache\commons\compress\AbstractTestCase.java,369,ArchiveEntry.getName,Call,D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\archivers\ArchiveEntry.java
org.apache.commons.compress.ArchiveReadTest.getExpectedString(ArchiveEntry entry),D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\test\java\org\apache\commons\compress\ArchiveReadTest.java,94,ArchiveEntry.getSize,Call,D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\archivers\ArchiveEntry.java
org.apache.commons.compress.ArchiveReadTest.getExpectedString(ArchiveEntry entry),D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\test\java\org\apache\commons\compress\ArchiveReadTest.java,94,ArchiveEntry.getName,Call,D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\archivers\ArchiveEntry.java
org.apache.commons.compress.ArchiveReadTest.testArchive(),D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\test\java\org\apache\commons\compress\ArchiveReadTest.java,101,clone,Call,
org.apache.commons.compress.archivers.ar.ArArchiveInputStream.asInt(byte[] byteArray,int base,boolean treatBlankAsZero),D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\archivers\ar\ArArchiveInputStream.java,207,ArchiveUtils.toAsciiString,Call,D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\utils\ArchiveUtils.java
org.apache.commons.compress.archivers.ar.ArArchiveInputStream.asLong(byte[] byteArray),D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\archivers\ar\ArArchiveInputStream.java,191,ArchiveUtils.toAsciiString,Call,D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\utils\ArchiveUtils.java
org.apache.commons.compress.archivers.ar.ArArchiveInputStream.getBSDLongName(String bsdLongName),D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\archivers\ar\ArArchiveInputStream.java,353,ArchiveUtils.toAsciiString,Call,D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\utils\ArchiveUtils.java
org.apache.commons.compress.archivers.ar.ArArchiveInputStream.getExtendedName(int offset),D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\archivers\ar\ArArchiveInputStream.java,179,length,Use,
org.apache.commons.compress.archivers.ar.ArArchiveInputStream.getExtendedName(int offset),D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\archivers\ar\ArArchiveInputStream.java,184,ArchiveUtils.toAsciiString,Call,D:\Code\Tools\art_tools\scripts\dump\commons-compress\src\main\java\org\apache\commons\compress\utils\ArchiveUtils.java
